Fecha de solicitud;Grupo de compras;Solicitud de pedido;Pos.solicitud pedido;Material;Pedido;Texto breve;Fabricante;Nº pieza fabricante;Cantidad solicitada;Unidad de medida;Almacén;Nombre de proveedor;Nº material de proveedor;Proveedor deseado;Proveedor fijo;Proveedor;Creado por;Fecha de liberación;Fecha orden compra;Indicador creación;Contrato marco;Pos.contrato sup.;Pedido marco;Posición pedido marco;Planif.necesidades;Clase documento;Tipo de posición;Tipo de imputación;Reg.info de compras;Unidad medida pedido;Precio de valoración;Valor total;Moneda;Centro;Solicitante;Indicador de borrado;Status tratamiento solicitud pedido;Status tratamiento;Indicador de bloqueo;Texto bloqueo;Perfil piezas fabric.;Grupo de artículos;Número de necesidad;Entrada mercancías;EM no valorada;Recepción facturas;Posición de pedido;Plazo entrega prev.;Entregas (de/a);Liberación general de solic.ped.;Urgencia necesidad;Prioridad nec.;Nº reserva;Consumo;Categoría material;Fecha Aprobación;Liberador Siguiente
12/01/2023;C01;1000000023;330;1101142611;;1200A CURRENT TRANSFORMER;EATON;T-1200A;4;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P01;ZS01;;;;;1.00;4.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;1;13/01/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;C01;1000000023;340;1101142959;;SIMADYN D ROUND CABLE SC17.2 50-POLE, L;GUNTHER;SC17.2/2,5M;1;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P01;ZS01;;;;;1.00;1.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;1;13/01/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;C11;1000000023;350;1101142967;;SITOR PULSE CABLE SC20X1.IMP1 CABLE LEN;GUNTHER;SC20X1.IMP1/17M-LIHCH;1;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P01;ZS01;;;;;1.00;1.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;1;13/01/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;C11;1000000023;360;1101142983;;SITOR PULSE CABLE SC20X1.IMP2 CABLE LEN;GUNTHER;SC20X1.IMP2/17M-LIHCH;1;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P01;ZS01;;;;;1.00;1.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;1;13/01/2023;Sí;0;0;0;;;28/03/2023;
12/01/2023;C11;1000000023;370;1101143007;;SITOR ACT.VAL. CABLE SC20X2.DS2SE20.2;GUNTHER;SC20X2.DS2/17M-LIHCH;1;PI;CONC;;;;;;MMUCHA@ANTAM;12/01/2023;;R;;0;;0;P01;ZS01;;;;;1.00;1.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;1;13/01/2023;Sí;0;0;0;;;28/03/2023;
16/01/2023;C01;1000000039;30;1100132282;;CIRCUIT BREAKER THERMAL MAGNETIC 400A69;ABB;S5N400R400;2;PI;CONC;;;;;;FROSALES@ANT;16/01/2023;;R;;0;;0;P01;ZS01;;;;;3,990.22;7,980.44;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;42;27/02/2023;Sí;0;0;0;;;16/01/2023;
16/01/2023;C01;1000000039;50;1100122572;;MOTOR AC INDUCTION HP 1.1KW220VAC 3 PHA;SEW;R67DT90L4BMG;2;PI;CONC;;;;;;FROSALES@ANT;16/01/2023;;R;;0;;0;P01;ZS01;;;;;1,000.00;2,000.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;30;15/02/2023;Sí;0;0;0;;;16/01/2023;
16/01/2023;C05;1000000040;10;1101099100;;CAPACITOR CAN 1.2KV, 189KVAR;CERBERUS;1,2/190/1;2;PI;PCON;;;;;;FROSALES@ANT;16/01/2023;;R;;0;;0;P01;ZS01;;;;;1,000.00;2,000.00;PEN;1101;;false;05;A;;;Z001;IN0000011;;Sí;No;Sí;0;1;17/01/2023;Sí;0;0;0;;;16/01/2023;
16/01/2023;C05;1000000040;20;1101099118;;UNBALANCE CT;CERBERUS;CT-52/95/250-OUT;1;PI;PCON;;;;;;FROSALES@ANT;16/01/2023;;R;;0;;0;P01;ZS01;;;;;1,000.00;1,000.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;1;17/01/2023;Sí;0;0;0;;;16/01/2023;
16/01/2023;C01;1000000040;30;1101142504;;SPARES FOR TRANSFORMER T.E/24 11500KVA O;OCREV;T.E/24-11500KVA-ARRES;2;PI;PCON;;;;;;FROSALES@ANT;16/01/2023;;R;;0;;0;P01;ZS01;;;;;1,000.00;2,000.00;PEN;1101;;false;05;N;;;Z001;IN0000011;;Sí;No;Sí;0;1;17/01/2023;Sí;0;0;0;;;16/01/2023;
